Name,Image,NookMiles,Category
arched tile path permit,https://i.imgur.com/RZsW5np.png,2000,
bamboo lattice fence,https://i.imgur.com/bK3wMxl.png,1000,Recipe
barbed-wire fence,https://i.imgur.com/bK3wMxl.png,1000,Recipe
bell voucher,https://i.imgur.com/NdMAOFh.png,500,
brick fence,https://i.imgur.com/bK3wMxl.png,1000,Recipe
brick path permit,https://i.imgur.com/RZsW5np.png,2000,
cliff construction permit,https://i.imgur.com/sNreCAw.png,6000,
corral fence,https://i.imgur.com/bK3wMxl.png,1000,Recipe
country fence,https://i.imgur.com/bK3wMxl.png,1000,Recipe
custom design path permit,https://i.imgur.com/RZsW5np.png,2800,
custom design pro editor,https://i.imgur.com/GHbUUKS.png,800,
customizable phone case kit,https://i.imgur.com/wjkZITy.png,1800,
dark dirt path permit,https://i.imgur.com/RZsW5np.png,2000,
imperial fence,https://i.imgur.com/bK3wMxl.png,1000,Recipe
iron fence,https://i.imgur.com/bK3wMxl.png,1000,Recipe
iron-and-stone fence,https://i.imgur.com/bK3wMxl.png,1000,Recipe
lattice fence,https://i.imgur.com/bK3wMxl.png,1000,Recipe
nook miles ticket,https://i.imgur.com/5ccmHPa.png,2000,
pocket organization guide,https://i.imgur.com/Nwri4DI.png,5000,
pretty good tools recipes,https://i.imgur.com/ma78edH.png,3000,
rope fence,https://i.imgur.com/bK3wMxl.png,1000,Recipe
sand path permit,https://i.imgur.com/RZsW5np.png,2000,
simple wooden fence,https://i.imgur.com/bK3wMxl.png,1000,Recipe
spiky fence,https://i.imgur.com/bK3wMxl.png,1000,Recipe
stone fence,https://i.imgur.com/bK3wMxl.png,1000,Recipe
stone path permit,https://i.imgur.com/RZsW5np.png,2000,
straw fence,https://i.imgur.com/bK3wMxl.png,1000,Recipe
terra-cotta tile permit,https://i.imgur.com/RZsW5np.png,2000,
tool ring: it's essential!,https://i.imgur.com/Nwri4DI.png,800,
top 8 cool hairstyles,https://i.imgur.com/APjUcMR.png,2400,
top 8 pop hairstyles,https://i.imgur.com/APjUcMR.png,2400,
top 8 stylish hair colors,https://i.imgur.com/APjUcMR.png,3000,
ultimate pocket stuffing,https://i.imgur.com/Nwri4DI.png,8000,
vertical-board fence,https://i.imgur.com/bK3wMxl.png,1000,Recipe
waterscaping permit,https://i.imgur.com/qX4Y5Lg.png,6000,
wooden path permit,https://i.imgur.com/RZsW5np.png,2000,
zen fence,https://i.imgur.com/bK3wMxl.png,1000,Recipe
(for recipes),https://i.imgur.com/zNdiVQF.png,,
construction sign,https://acnhcdn.com/acdb/housewares/FtrSignConstruction_Remake_0_0.png,1000,Housewares
cotton-candy stall,https://acnhcdn.com/acdb/housewares/FtrCottoncandymachine_Remake_0_0.png,3000,Housewares
drink machine,https://acnhcdn.com/acdb/housewares/FtrDrinkmachine_Remake_0_0.png,2000,Housewares
lifeguard chair,https://acnhcdn.com/acdb/housewares/FtrMonitoringchair_Remake_0_0.png,1000,Housewares
lighthouse,https://acnhcdn.com/acdb/housewares/FtrLighthouse_Remake_0_0.png,5000,Housewares
monster statue,https://acnhcdn.com/acdb/housewares/FtrMonster_Remake_0_0.png,5000,Housewares
parabolic antenna,https://acnhcdn.com/acdb/housewares/FtrParabolicantenna_Remake_0_0.png,4000,Housewares
park clock,https://acnhcdn.com/acdb/housewares/FtrParkclock_Remake_0_0.png,2400,Housewares
phone box,https://acnhcdn.com/acdb/housewares/FtrTelephonebox_Remake_0_0.png,2400,Housewares
playground gym,https://acnhcdn.com/acdb/housewares/FtrJunglegym_Remake_0_0.png,3000,Housewares
pool,https://acnhcdn.com/acdb/housewares/FtrPool_Remake_0_0.png,5000,Housewares
portable toilet,https://acnhcdn.com/acdb/housewares/FtrWCPortable_Remake_0_0.png,1000,Housewares
public bench,https://acnhcdn.com/acdb/housewares/FtrPublicbench_Remake_0_0.png,2000,Housewares
snack machine,https://acnhcdn.com/acdb/housewares/FtrFoodmachine_Remake_0_0.png,2000,Housewares
soccer goal,https://acnhcdn.com/acdb/housewares/FtrSoccergoal.png,4000,Housewares
solar panel,https://acnhcdn.com/acdb/housewares/FtrSolarpanel_Remake_0_0.png,4000,Housewares
springy ride-on,https://acnhcdn.com/acdb/housewares/FtrSpringrider_Remake_0_0.png,2000,Housewares
streetlamp,https://acnhcdn.com/acdb/housewares/FtrStreetlamp_Remake_0_0.png,1000,Housewares
teacup ride,https://acnhcdn.com/acdb/housewares/FtrTurncup_Remake_0_0.png,5000,Housewares
tourist telescope,https://acnhcdn.com/acdb/housewares/FtrTelescopeSightseeing_Remake_0_0.png,2000,Housewares
utility pole,https://acnhcdn.com/acdb/housewares/FtrTelephonepole_Remake_0_0.png,1000,Housewares
wind turbine,https://acnhcdn.com/acdb/housewares/FtrWindturbine_Remake_0_0.png,4000,Housewares
